1;Leonardo Guilherme;Recursos Humanos;R$ 16.898,34]
2;Francisco Rosenilson;Administrativo;R$ 14.833,79]
3;Francisco Rosenilson;Administrativo;R$ 6.580,98]
4;Pedro Lucas;Administrativo;R$ 4.261,09]
5;Francisco Rosenilson;Recursos Humanos;R$ 19.148,48]
6;Pedro Lucas;Financeiro;R$ 19.623,17]
7;Leonardo Guilherme;Financeiro;R$ 3.271,62]
8;Pedro Lucas;Administrativo;R$ 4.667,21]
9;Pedro Lucas;Financeiro;R$ 17.447,27]
10;Pedro Lucas;Recursos Humanos;R$ 9.095,92]
11;Leonardo Guilherme;Financeiro;R$ 18.624,79]
12;Pedro Lucas;Financeiro;R$ 2.431,59]
13;Francisco Rosenilson;Financeiro;R$ 19.854,20]
14;Pedro Lucas;Financeiro;R$ 8.204,19]
15;Jonatan David;Administrativo;R$ 9.764,37]
16;Francisco Rosenilson;Financeiro;R$ 16.811,87]
17;Leonardo Guilherme;Financeiro;R$ 6.150,19]
18;Jonatan David;Financeiro;R$ 13.903,90]
19;Leonardo Guilherme;Recursos Humanos;R$ 11.980,56]
20;Leonardo Guilherme;Administrativo;R$ 17.200,77]
21;Leonardo Guilherme;Administrativo;R$ 10.735,23]
22;Leonardo Guilherme;Financeiro;R$ 12.292,87]
23;Leonardo Guilherme;Administrativo;R$ 3.136,35]
24;Pedro Lucas;Recursos Humanos;R$ 9.149,01]
25;Jonatan David;Recursos Humanos;R$ 7.061,30]
26;Pedro Lucas;Financeiro;R$ 7.817,42]
27;Leonardo Guilherme;Financeiro;R$ 6.706,98]
28;Jonatan David;Administrativo;R$ 12.116,97]
29;Francisco Rosenilson;Administrativo;R$ 9.920,83]
30;Pedro Lucas;Administrativo;R$ 13.992,79]
31;Francisco Rosenilson;Administrativo;R$ 6.022,58]
32;Leonardo Guilherme;Recursos Humanos;R$ 6.650,20]
33;Leonardo Guilherme;Financeiro;R$ 6.411,14]
34;Francisco Rosenilson;Administrativo;R$ 13.582,69]
35;Pedro Lucas;Financeiro;R$ 2.784,36]
36;Pedro Lucas;Financeiro;R$ 5.174,26]
37;Francisco Rosenilson;Administrativo;R$ 14.895,03]
38;Leonardo Guilherme;Financeiro;R$ 8.683,21]
39;Leonardo Guilherme;Financeiro;R$ 17.424,75]
40;Pedro Lucas;Administrativo;R$ 9.104,12]
41;Jonatan David;Financeiro;R$ 17.777,96]
42;Jonatan David;Administrativo;R$ 15.656,51]
43;Pedro Lucas;Financeiro;R$ 13.381,67]
44;Leonardo Guilherme;Financeiro;R$ 15.463,40]
45;Leonardo Guilherme;Recursos Humanos;R$ 4.422,03]
46;Jonatan David;Administrativo;R$ 8.359,53]
47;Francisco Rosenilson;Administrativo;R$ 19.857,28]
48;Jonatan David;Recursos Humanos;R$ 6.708,91]
49;Leonardo Guilherme;Financeiro;R$ 5.017,08]
50;Jonatan David;Recursos Humanos;R$ 15.613,04]
51;Jonatan David;Financeiro;R$ 12.131,59]
52;Leonardo Guilherme;Administrativo;R$ 5.955,58]
53;Leonardo Guilherme;Recursos Humanos;R$ 18.729,35]
54;Francisco Rosenilson;Recursos Humanos;R$ 7.356,42]
55;Jonatan David;Administrativo;R$ 13.001,16]
56;Francisco Rosenilson;Recursos Humanos;R$ 14.297,32]
57;Francisco Rosenilson;Administrativo;R$ 13.947,86]
